Day of the week,Time of day,LONGITUDE,LATITUDE,Weather,CrashServerity,Lighting,RoadCondition
3,4,149.085494826124,-35.3876112304038,0,0,3,0
6,1,149.146490797872,-35.3311662626853,0,0,0,0
4,1,149.137511810935,-35.2164186793183,0,0,0,0
5,1,149.113359844802,-35.1804900812939,0,0,0,0
5,1,149.184970289376,-35.2131325151229,0,0,3,0
5,2,149.176297732314,-35.3378791399291,6,0,0,3
1,3,149.068360428553,-35.2376970031836,0,0,0,0
5,3,149.137493849474,-35.3028137396706,0,0,0,0
5,2,149.168130587072,-35.3684785654229,0,0,0,0
2,3,149.124406638984,-35.307495426829,0,0,0,0
1,3,149.11750409627,-35.1848035612621,0,0,0,0
5,4,149.100910909953,-35.3560749257688,0,0,3,0
3,3,149.133551560349,-35.2481653567743,0,0,3,0
1,3,149.105612064952,-35.3127571650514,0,0,0,0
6,2,149.075346439899,-35.2505454291462,0,0,0,0
5,3,149.071036522446,-35.3479826819224,1,0,0,3
6,2,149.149383864355,-35.32308895691,0,0,0,0
4,2,149.071195492549,-35.2388582149177,1,0,0,0
4,1,149.09772894763,-35.404131679881,0,0,0,0
7,2,149.070269502618,-35.4191472108803,0,0,0,0
5,1,149.134916898187,-35.3213462101492,0,0,0,0
2,1,149.086105357191,-35.2534140981798,1,0,0,3
5,3,149.031867404716,-35.2370874523825,0,0,0,0
5,1,149.148159417535,-35.3229449618873,0,0,0,0
7,4,149.080456244179,-35.4023496154616,0,0,4,0
4,3,149.139650209108,-35.2900586197403,0,0,1,0
1,1,149.120566271325,-35.2729717510022,0,0,0,0
5,4,149.147982365305,-35.3158523222797,0,0,4,0
6,4,149.133044177112,-35.319167115769,0,0,3,0
3,3,149.068311679264,-35.352373129894,0,1,0,0
4,1,149.056050250962,-35.3791094752807,0,0,0,0
3,1,149.228393986061,-35.3279003029645,6,0,0,3
1,3,149.105138184798,-35.3948372995588,0,0,3,0
2,3,149.095933060351,-35.2293702922701,0,0,0,0
1,4,149.056655536541,-35.3791903512398,0,1,3,0
2,4,149.147217753829,-35.2084588165979,0,0,1,0
4,1,149.028577526218,-35.2418928797172,0,0,0,0
2,1,149.128232098838,-35.2564985381651,0,0,0,0
1,3,149.089323974165,-35.341102039609,0,0,0,0
2,1,149.175048119173,-35.2968467854477,0,0,0,0
2,3,149.120041577179,-35.1859368757227,0,0,0,0
2,3,149.12633276195,-35.2783738758614,1,0,0,0
5,3,149.106383035947,-35.1775245464482,6,0,0,3
7,3,148.938042896265,-35.3003190406315,0,0,0,1
1,3,149.169752220194,-35.3261086540283,1,0,0,0
6,4,149.080419264706,-35.1894500748596,6,0,5,3
2,3,149.127129929646,-35.2443864748756,0,0,0,0
4,1,149.148908137254,-35.3234938621151,0,0,0,0
5,1,149.140610368583,-35.258351201732,0,0,0,0
2,3,149.067305836357,-35.2376794898099,0,0,0,0
3,3,149.153936922195,-35.2511078693242,6,0,4,3
5,1,149.076078387257,-35.3526394495292,0,0,0,0
2,2,149.153097853136,-35.1926346590707,0,1,0,0
4,3,149.098609743388,-35.3438303273391,0,0,0,0
3,3,149.14700211592,-35.2824348209202,0,0,0,0
5,2,149.130109957467,-35.2759457698509,0,0,0,0
5,4,149.139487091481,-35.1809605267212,6,1,1,3
6,1,149.18065837803,-35.3030667855498,0,0,0,0
7,2,149.052668600247,-35.2697075905357,6,0,0,3
7,1,149.003351981308,-35.2096637392786,6,0,0,3
2,4,149.148238846416,-35.2986470671458,0,0,1,0
2,3,149.124379826222,-35.2807821187607,0,0,0,0
2,1,149.095074623484,-35.3272206172071,0,0,0,0
5,4,149.137655382523,-35.265825842107,0,0,3,0
6,2,149.086834999981,-35.2529240281917,0,0,0,0
3,3,149.135983659183,-35.2649263417018,0,0,0,0
1,3,148.990149693535,-35.4520812832709,0,0,5,0
3,1,149.126578087038,-35.2426205349201,0,0,0,3
5,3,149.078823527583,-35.4238090717785,0,0,3,0
3,4,149.054212705712,-35.2199300879698,0,0,0,0
1,3,149.122674827405,-35.1848348846304,0,0,0,0
2,2,149.028355403112,-35.2039032760713,0,0,0,0
5,4,149.131922093181,-35.260487299922,0,0,3,0
4,3,149.035368775336,-35.2280470244312,0,0,0,0
6,2,149.055515252912,-35.3865088957026,0,0,0,0
1,1,149.100311450291,-35.3512627056308,0,0,0,0
3,1,149.0530907321,-35.3393655696007,0,0,0,0
2,3,149.127838326026,-35.2782642582372,6,0,0,3
1,4,149.115845085951,-35.4272068815048,4,1,4,3
6,1,149.056567533297,-35.3792444604281,0,1,0,0
2,1,149.154134544051,-35.2510265190137,6,0,0,3
7,1,149.086448553571,-35.3489291216733,0,0,0,0
3,3,149.134687858358,-35.2869184695538,0,0,0,0
3,4,149.078958674022,-35.4145172273224,0,1,3,0
2,2,149.060542688384,-35.2261192947648,0,1,0,0
5,4,149.1883618889,-35.307282380243,0,0,1,0
5,3,149.144577732933,-35.1851360667517,7,0,3,3
2,2,149.141608385915,-35.3112811095208,0,0,0,0
1,1,149.1331881715,-35.3126328982696,0,0,0,0
5,2,149.086305559291,-35.3489382256336,1,0,0,3
3,2,149.177344019718,-35.3332452630118,0,0,0,0
5,2,149.177435811739,-35.3350836871277,0,0,0,0
2,1,149.104920077199,-35.4440240172063,4,0,0,0
6,3,149.064199488793,-35.3228591335316,6,0,0,3
3,3,149.104105067446,-35.2839180857008,0,0,0,0
4,1,149.102457137968,-35.284604325833,0,0,0,0
5,1,149.156609096539,-35.2097816217916,0,1,0,0
5,3,149.198914234448,-35.3438842323861,0,1,1,0
1,3,149.01997980184,-35.2241648680951,0,0,3,0
3,1,149.096225603812,-35.3469216927638,0,0,0,0
3,1,149.177450471729,-35.2988726186754,0,0,0,0
5,1,149.163144278039,-35.303585917089,0,0,0,0
2,4,149.129725055968,-35.2757839267123,0,0,3,0
6,2,149.174705933974,-35.3015608299777,0,0,0,0
4,3,149.132063401918,-35.1863669167059,0,0,0,0
1,3,149.055157124907,-35.3564344628813,6,0,1,3
5,1,149.139977994603,-35.2819829720524,0,0,0,0
6,3,149.03315386954,-35.2412150117302,0,0,0,0
4,3,149.072196072072,-35.3964781093844,0,0,3,0
3,2,149.052091537905,-35.3426284522691,6,0,0,3
2,1,149.12144557797,-35.2730520522188,0,0,0,0
1,1,149.138350696349,-35.2746664797491,0,1,0,0
4,3,149.123376744604,-35.1764884096673,0,0,4,0
3,2,149.135631829777,-35.2789863900112,0,0,0,0
6,3,149.019098215028,-35.1999658132125,1,0,0,0
2,2,149.153431342218,-35.3254803159375,0,0,0,0
7,3,149.06875812537,-35.2558302733158,0,0,0,0
1,3,149.112625400067,-35.2854702835172,0,0,0,0
4,3,149.122686740311,-35.2725461885122,1,0,1,5
5,4,149.189085468355,-35.2117565508005,0,0,5,0
6,4,149.132427407185,-35.2749430330071,0,0,3,0
2,2,149.131864406432,-35.2805854997876,0,0,0,0
1,3,149.127836101044,-35.1934911881771,0,1,0,0
4,1,149.13486027803,-35.3131629112272,0,0,0,0
6,1,149.067964704186,-35.4202909845088,0,0,0,0
3,3,149.139748557308,-35.1659629946628,0,0,0,0
4,1,149.137202153863,-35.3200640382952,0,0,0,0
5,3,149.046692107489,-35.3933163411199,0,0,0,0
4,3,149.124406638984,-35.307495426829,0,0,4,0
4,1,149.140793620799,-35.2901925706372,0,0,0,0
5,1,149.056369993451,-35.3801728195715,0,0,0,0
1,1,149.102308470009,-35.4139698006563,0,1,0,0
5,1,149.159124260438,-35.3414345317454,6,0,0,3
1,4,149.022570998325,-35.2187209452888,0,0,3,0
6,2,149.051399073809,-35.3435930322607,0,1,0,0
1,3,149.133891656865,-35.3196709455269,0,0,3,0
3,3,148.965357351545,-35.3296679498607,0,2,0,0
2,1,149.135254787958,-35.3194081702148,0,1,0,0
2,3,149.129036492419,-35.2783892544094,1,0,0,0
6,3,149.089514878588,-35.2569268142622,0,0,0,0
6,3,149.083591610772,-35.340296938755,0,0,0,0
7,3,149.139861441558,-35.257261483267,0,0,0,0
4,3,149.161918576226,-35.2009425752756,1,0,0,3
7,2,149.132930809122,-35.1864471494986,0,0,0,0
6,3,149.024801107258,-35.2220283447987,0,0,0,0
2,3,149.136717553652,-35.3195778748014,0,0,3,0
7,2,149.119295894346,-35.1865594347341,6,0,0,3
4,3,149.084240927896,-35.3407020993051,6,0,0,3
3,1,149.084248244376,-35.3486421103938,0,0,0,0
5,1,149.09201983562,-35.2350153546658,1,0,0,0
7,3,149.09487332449,-35.2011166575648,0,0,0,0
5,1,149.077022007242,-35.4288209715597,0,0,0,0
5,4,149.044472966986,-35.1991229348231,7,0,3,3
4,1,149.155528743701,-35.2503849435457,0,0,0,0
2,4,149.129665301727,-35.3096803522299,0,0,3,0
3,1,149.053201390223,-35.3406092550563,0,0,0,0
2,1,149.099706854205,-35.3714060623136,0,0,0,0
5,4,149.051904614198,-35.3427546931285,7,1,0,3
7,2,149.043404645917,-35.2176173409768,0,0,0,0
3,3,149.142383653553,-35.3281426566176,0,0,0,0
3,1,149.096001403547,-35.2294427413789,0,0,0,0
2,1,149.131009409957,-35.3188537439422,0,0,0,0
4,1,149.134927841009,-35.285728556558,0,0,0,0
3,2,149.155881974277,-35.3245310561159,0,0,0,0
5,3,149.03042938554,-35.3259159841819,0,0,0,0
2,1,149.161919656905,-35.3305799860059,0,1,3,4
2,2,149.135844064192,-35.3369710637521,0,0,0,0
1,3,149.062024651965,-35.2215657824939,0,0,0,0
3,3,149.080109018078,-35.2312736575179,0,0,0,0
5,1,149.125655758108,-35.1581272093745,0,0,0,0
2,1,149.082542539231,-35.2868712008721,0,0,0,0
1,4,149.106770231717,-35.1779089001481,0,0,3,0
5,1,149.132044360962,-35.3124357899025,0,0,0,0
1,4,149.123777826683,-35.3059909237188,0,0,3,0
2,2,149.125770061498,-35.2768512881299,0,0,0,0
3,2,149.070283936773,-35.2391651098311,6,0,0,3
7,3,149.114881613985,-35.2622788611186,1,0,0,3
2,3,149.103207771693,-35.4204850728933,0,0,1,0
5,4,149.073395163539,-35.4513628345989,0,0,5,0
1,4,149.049497587818,-35.2351721921386,0,0,3,0
5,4,149.167718989817,-35.3661809226398,0,1,5,0
5,4,149.027290599044,-35.2053634998186,7,0,3,3
2,4,149.102179029684,-35.4067058966787,0,0,3,0
2,3,149.079279534581,-35.2886936860879,1,0,1,3
4,3,149.100453374542,-35.3502982607657,0,0,0,0
3,1,149.133322851611,-35.3093358009226,0,0,0,0
4,1,149.13707742778,-35.2406181154836,0,0,0,0
6,2,149.05719695545,-35.3455285652185,6,0,0,3
1,3,149.078938973341,-35.2889191985064,0,0,3,0
7,3,149.08807940386,-35.3572386303896,7,0,0,3
3,1,149.106101115526,-35.3633169172426,6,0,0,3
5,3,149.133497842321,-35.32101421385,0,0,0,0
2,3,149.146052733199,-35.2341101969033,0,0,0,0
2,4,149.149383864355,-35.32308895691,0,0,4,0
2,1,149.130672767621,-35.2479609874038,0,0,0,0
1,3,149.121946763404,-35.2857954221138,0,0,0,0
4,1,149.077997929575,-35.4240258402787,0,0,0,0
1,2,149.070430081424,-35.4191632169413,0,0,0,0
1,2,149.13576017967,-35.3191282548776,0,0,0,0
6,1,149.086490756762,-35.25430610499,0,0,0,0
6,4,149.139641627793,-35.2572256696917,0,0,3,0
5,1,149.086834999981,-35.2529240281917,0,0,0,0
5,3,149.144396550616,-35.2356261802005,0,0,0,0
3,4,149.13050515394,-35.2977739016049,0,0,0,0
3,2,149.098499067746,-35.3437115793029,0,0,0,0
3,1,149.181052297192,-35.3029489184036,0,0,0,0
5,3,149.087156878861,-35.2336469310182,0,0,3,0
4,3,149.165761206606,-35.200712341015,0,0,0,0
3,1,149.053568800012,-35.3285864458221,0,0,0,0
4,3,149.18038423182,-35.2989482868014,0,0,1,0
2,1,149.135918697204,-35.2796980866358,0,0,0,3
3,1,149.134273078801,-35.3102705019124,0,0,0,0
5,1,149.111313614629,-35.229746268342,0,0,0,0
5,3,149.134363880792,-35.1867670103783,6,0,3,3
3,1,149.126804310684,-35.2928656921002,0,0,0,0
2,1,149.160820102801,-35.3306985312645,0,0,0,0
3,2,149.145435673788,-35.3168386083727,0,0,0,0
7,2,149.10189741268,-35.3721974992989,0,0,0,0
7,3,149.070451992253,-35.4190190078168,0,0,0,0
4,3,149.080249976327,-35.3426782561462,0,0,0,0
5,3,149.143987222116,-35.3003552570371,0,0,3,0
3,3,149.142678540248,-35.1723859149225,0,0,0,0
2,3,149.129885804046,-35.2730078817429,0,1,3,0
5,1,149.135183693675,-35.252129234514,0,0,0,0
1,3,149.163352819022,-35.2860020995699,0,1,0,0
7,3,149.028682857561,-35.241891754631,0,1,0,0
2,3,149.044608411917,-35.3344655396362,0,0,3,0
4,1,149.16212763017,-35.3300569983059,0,0,0,0
3,2,149.126229553543,-35.2753817891049,0,0,0,0
5,1,149.0731052214,-35.2928158735187,0,0,0,0
6,3,149.124896987423,-35.3043946320079,7,0,1,3
5,2,149.12963442286,-35.3111043608448,0,0,0,0
2,1,149.083857140738,-35.3419911262507,0,0,0,0
2,3,149.131915298619,-35.2997642613403,0,1,0,0
5,1,149.091717503697,-35.3270883381336,0,0,0,0
1,1,149.125644549146,-35.1656709237159,0,0,0,0
1,2,149.105853915477,-35.4328569881613,0,0,0,0
3,1,149.102788181952,-35.409913847139,0,0,1,0
5,2,149.057086926014,-35.3454745337252,0,0,0,0
3,3,149.086981594048,-35.2620746917258,0,0,0,0
6,2,149.185774691182,-35.2143931252988,6,0,0,3
4,3,149.039647689784,-35.3331420468714,0,0,0,0
3,1,149.125749770365,-35.3010681704283,0,0,0,0
5,3,149.066782515463,-35.4144695552563,6,0,0,3
7,4,149.18578610122,-35.3058802036553,0,0,3,0
3,1,149.074699129355,-35.415754303551,0,0,0,0
6,4,149.139850453751,-35.2572614951218,0,0,3,0
4,3,149.078753089266,-35.2513636681389,7,0,1,3
6,4,149.093834800916,-35.3643986137611,6,0,4,3
5,2,149.094071900346,-35.3491132643046,0,0,0,0
2,1,149.095074543982,-35.4036876567033,6,0,0,3
2,1,149.069030557664,-35.4174245269485,0,0,0,0
7,4,149.130234153367,-35.2633550155845,6,0,4,3
1,3,149.133591086244,-35.2765584977339,0,0,0,0
4,1,149.176264680576,-35.3378521480423,0,0,0,0
3,3,149.14106538422,-35.3018816034896,0,0,1,0
5,1,149.086217412605,-35.3487850694598,0,0,0,0
4,1,149.091788843667,-35.2347090813479,0,0,0,0
5,1,149.086337034594,-35.254414355046,1,0,0,3
3,1,149.065904752264,-35.3397387704726,6,0,0,3
4,1,149.125996158683,-35.2965616386138,6,0,0,3
2,3,149.06819119465,-35.2467457938413,0,0,0,0
5,3,149.059215064579,-35.3897879466752,0,0,0,0
5,1,149.097440104843,-35.2190861339265,0,0,0,0
6,4,149.017145838184,-35.2215964626453,0,0,5,0
3,3,149.088212341511,-35.3527943404662,0,0,0,0
3,2,149.088454933976,-35.3457490841736,0,0,0,0
3,1,149.110453641203,-35.2625980881322,0,0,0,0
6,4,149.134759774015,-35.2693888652487,0,0,3,0
4,4,149.085354331627,-35.3366210443608,0,0,3,0
1,2,149.114150719759,-35.4622933735157,0,0,0,0
7,4,149.062793545288,-35.2416922104864,0,0,4,0
3,1,149.067983243227,-35.2478454384692,0,0,0,0
2,3,149.07349392245,-35.2420204572762,0,0,0,0
7,3,149.085687974457,-35.4290591470942,0,0,0,0
7,2,149.085354331627,-35.3366210443608,0,0,0,0
6,1,149.125893900344,-35.24047618871,0,0,0,0
3,3,149.09001549817,-35.2409560558308,0,0,0,0
6,1,149.132619755368,-35.1840230357952,0,0,0,0
5,3,149.142647184537,-35.1800738394666,0,0,3,0
7,3,149.140566431277,-35.2583602620379,0,1,5,0
5,3,149.177146433346,-35.3281084048381,0,0,0,0
1,1,149.132751820703,-35.2060680324279,0,0,0,0
6,2,149.121946763404,-35.2857954221138,0,0,0,0
3,1,149.106319984447,-35.1777560446445,0,0,0,3
5,3,149.103109779815,-35.4214314503642,0,0,0,0
3,3,149.064137007822,-35.2464593008713,0,0,0,0
3,3,149.16906504331,-35.3848169429264,0,0,4,0
1,1,149.13190280138,-35.3206463294964,0,0,0,3
2,1,149.100498795603,-35.1552196111683,0,0,0,0
4,1,149.087894622744,-35.3427636348202,0,0,0,0
4,3,149.086687258303,-35.2529630937341,0,1,3,0
7,2,149.137330518448,-35.184793246458,6,0,0,3
5,3,149.067796619968,-35.2480528200544,0,0,0,0
5,1,149.116287217117,-35.2531928834642,4,0,0,0
3,2,149.076532406389,-35.2764561147461,0,0,0,0
5,2,149.129058434026,-35.2783621948619,0,0,0,0
4,1,149.127668757106,-35.4124496828352,0,0,0,0
4,3,149.082693052168,-35.2831308743692,0,0,3,0
5,2,149.085354331627,-35.3366210443608,6,0,0,3
2,1,149.060301775246,-35.385236213145,6,0,0,3
5,1,149.165476116316,-35.2869907590732,0,0,0,0
3,3,149.034830451149,-35.2276866312191,6,0,3,3
1,1,149.132587717932,-35.2064737714188,0,0,0,0
5,1,149.090300550936,-35.240379054557,0,0,0,0
4,3,149.131744916458,-35.2815229326668,0,0,3,0
2,2,149.161997505091,-35.3310395252126,0,0,0,0
1,3,148.953628550961,-35.3213535296335,0,1,0,0
